Title,Category,Upvotes
Dazzling photos capture shooting stars during Perseid meteor shower,World,536
"This bizarre, spaghetti-like sea creature is actually real",Watercooler,688
"The ESL details its anti-drug policy, addresses recreational marijuana use",Sports,613
A police union is posting 'peek-a-boo' photos of New York City's homeless on Flickr,World,417
Brace yourself — you will soon be able to drink a Wheaties beer,Watercooler,457
Global warming seen lurking behind this summer’s deadly heat waves,World,553
16 types of people you're guaranteed to encounter on A-level results day,Watercooler,452
"A tiny chihuahua puppy plays with baby goats, and all is right with the world",Watercooler,536
Photos reveal harrowing conditions for migrants on Greek island,World,568
Mississippi couple charged with attempting to run away and join ISIS,World,531
