Title,Category,Upvotes
"Wait a minute, China's new bean-shaped sculpture looks awfully familiar",Watercooler,1533
"Man takes vacation from being human, becomes goat",Watercooler,2168
How to watch the Perseid meteor shower live,World,8676
How to shoot the Perseid meteor shower with your phone,World,2039
Michelle Dockery Instagrammed the 'Downton Abbey' reunion of your dreams,Entertainment,2707
Little kid immediately regrets climbing onto woolly sheep,Watercooler,1650
Bloody aftermath of Tianjin explosion caught on Chinese social media,World,1553
"Damian Lillard, Steve Francis and the unbroken circle of NBA fandom",Sports,2573
Amy Schumer's 'Trainwreck' has amazing titles in other countries,Entertainment,1423
Tom Brady's melting face in courtroom sketch is instantly turned into a meme,Watercooler,1357
